city,lng,iso2,population
Campinas,-47.0608,BR,1213792
Lingcheng,110.35,CN,1211637
Shuangyashan,131.1416,CN,1208803
Mombasa,39.6667,KE,1208333
Najafgarh,76.9798,IN,1203180
Xinyu,114.9167,CN,1202499
Qom,50.8764,IR,1201158
Baidoa,43.65,SO,1200000
Hargeysa,44.0675,SO,1200000
Zhangye,100.4499,CN,1199515
Vārānasi,83.0128,IN,1198491
Hiroshima,132.4519,JP,1198021
Chiang Mai,98.9986,TH,1198000
Belgrade,20.46,RS,1197714
Maiduguri,13.15,NG,1197497
Chelyabinsk,61.3758,RU,1196680
Batam Centre,104.0531,ID,1196396
Rongcheng,104.103,CN,1189813
Mbandaka,18.2558,CD,1187837
Doha,51.5333,QA,1186023
Ahvāz,48.6783,IR,1184788
Shymkent,69.5958,KZ,1184113
Tripoli,13.1914,LY,1183000
Srīnagar,74.79,IN,1180570
Nashville,-86.7842,US,1177657
Liaoyuan,125.1447,CN,1176239
Aurangābād,75.32,IN,1175116
Cilacap,109.017,ID,1174964
Salt Lake City,-111.9311,US,1173879
Omsk,73.3667,RU,1172070
Pikine,-17.4,SN,1170791
Samara,50.1408,RU,1169719
Guankou,113.6433,CN,1168056
Bandar Lampung,105.2667,ID,1166761
Raleigh,-78.6429,US,1163152
Lianyuan,111.664,CN,1162928
Rongcheng,112.9048,CN,1162770
Dhanbād,86.4305,IN,1162472
Nay Pyi Taw,96.115,MM,1160242
Aba,7.3667,NG,1160000
Kaiyuan,113.86,CN,1160000
Zhuji,120.2333,CN,1157938
Yingtan,117.0395,CN,1154223
Edmonton,-113.4903,CA,1151635
Leiyang,112.8598,CN,1151554
Ulsan,129.3167,KR,1150116
Yichun,128.841,CN,1148126
Benin City,5.6222,NG,1147188
Bujumbura,29.3667,BI,1143202
Guyuan,106.257,CN,1142142
Xiantao,113.443,CN,1140100
Rostov,39.71,RU,1137704
Maputo,32.5833,MZ,1133200
Bukavu,28.8667,CD,1133000
Amritsar,74.86,IN,1132383
Shagamu,3.65,NG,1132270
Yingchuan,113.4733,CN,1131896
Alīgarh,78.08,IN,1131160
Santo Domingo,-69.95,DO,1128678
Bogor,106.7972,ID,1127408
Bishkek,74.6122,KG,1120827
Tbilisi,44.7925,GE,1118035
Guwāhāti,91.7458,IN,1116267
Ufa,55.9475,RU,1115560
Fès,-5.0033,MA,1112072
Mwanza,32.9,TZ,1104521
Biên Hòa,106.8167,VN,1104000
Mexicali,-115.4678,MX,1102342
Sevilla,-5.99,ES,1100000
Ikare,5.75,NG,1099931
Dongtai,120.519,CN,1098100
Dingzhou,114.99,CN,1095986
Xibeijie,98.4943,CN,1095947
Tamale,-0.8533,GH,1095808
Yuyao,121.15,CN,1095000
Hanchuan,113.8274,CN,1092700
Gongzhuling,124.8224,CN,1092692
N’Djamena,15.05,TD,1092066
Ubungo,39.2056,TZ,1086912
Cologne,6.9528,DE,1084831
Krasnoyarsk,92.8719,RU,1083865
Zhufeng,119.4167,CN,1081960
Ezhou,114.8949,CN,1079353
Astana,71.4222,KZ,1078362
Nezahualcóyotl,-99.0186,MX,1077208
Nouakchott,-15.9785,MR,1077169
Hāora,88.3294,IN,1077075
Tongjin,127.2,KR,1076369
Xiashi,120.6833,CN,1076199
Yerevan,44.5144,AM,1075800
Rānchi,85.33,IN,1073440
Richmond,-77.4756,US,1073223
Ciudad Nezahualcóyotl,-99.0148,MX,1072676
Gwalior,78.1772,IN,1069276
Ottawa,-75.695,CA,1068821
Zhongwei,105.1968,CN,1067336
Oslo,10.7389,NO,1064235
Goyang,126.8,KR,1061929
Sendai,140.8694,JP,1061177
Xishan,113.497,CN,1060000
Mizhou,119.3801,CN,1060000
Barquisimeto,-69.3347,VE,1059092
Hegang,130.298,CN,1058665
Chandīgarh,76.78,IN,1055450
Voronezh,39.2106,RU,1051995
Managua,-86.2514,NI,1051236
Haldwāni,79.52,IN,1050000
Vijayavāda,80.6305,IN,1048240
Perm,56.3167,RU,1048005
Fangchenggang,108.3547,CN,1046068
Jiancheng,104.5465,CN,1045900
Cazenga,13.2911,AO,1045722
Kisangani,25.2,CD,1040000
Shouguang,118.791,CN,1039205
Memphis,-89.9663,US,1037998
São Luís,-44.3044,BR,1037775
Jodhpur,73.02,IN,1033918
Matola,32.4667,MZ,1032197
Ogbomoso,4.25,NG,1032000
Sanya,109.5036,CN,1031396
Rangapukur,89.25,BD,1031388
Ashgabat,58.38,TM,1030063
Wutong,120.5333,CN,1029754
Linhai,121.1167,CN,1028813
Denizli,29.0964,TR,1027782
Niamey,2.1175,NE,1026848
Shubrā al Khaymah,31.2422,EG,1025569
Wafangdian,121.9796,CN,1024876
Zhongxiang,112.5853,CN,1022514
Monrovia,-10.8014,LR,1021762
San Cristóbal,-72.2333,VE,1015623
Islamabad,73.0639,PK,1014825
Xinyi,110.9468,CN,1013900
Thủ Đức,106.7609,VN,1013795
Morelia,-101.1894,MX,1011704
Odesa,30.7326,UA,1010537
Raipur,81.6306,IN,1010087
Changwon,128.6631,KR,1009998
Arequipa,-71.5333,PE,1008290
Volgograd,44.5147,RU,1004763
